Pattern String,Comment,Pattern Category,Where in website?,Deceptive?,Website Page
,Sale,Urgency,Product Page,No,https://www.swamp.net.au
"Before you check out, can we tempt you?",Popup asking to buy more,Misdirection,Cart Page,No,https://www.brooktaverner.co.uk/jacket-collection/tweed-jackets/breedon-pure-new-wool-check-jacket-3703a.html
"NO THANKS, I DON'T LIKE FREE STUFF",Popup,Misdirection,Product Page,No,https://www.uksoccershop.com/p-110652/2018-2019-barcelona-nike-home-socks-navy.html
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://www.elimarpigeons.com/xcart/recup-forte.html
Only 3 left in stock.,Product detail,Scarcity,Product Page,No,https://www.bluenile.com/sapphire-and-micropave-diamond-stud-earrings-in-18k-white-go_10636?elem=img&track=product&vtype=sample
,Discount code,Urgency,Product Page,No,https://www.davidsbridal.com
"estiven in Deer Park, United States purchased PreWash™ 4 oz",Lower left corner,Social Proof,Product Page,No,https://www.dipyourcar.com/collections/beginner-kits/products/matte-black-car-kit
70% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Product Page,No,https://rednecknationstrong.com/products/mudweiser-rnss-54
85 have it in their cart,Product detail,Social Proof,Product Page,No,https://fuzz.online/products/fg-grater
,Sale. Resets.,Urgency,Product Page,No,https://www.junebridals.com
"Someone in Sasebo, Japan just bought",Periodic popup,Social Proof,Product Page,No,https://sexyrealsexdolls.com/collections/tpe-sex-dolls/products/150cm-4ft11-m-cup-bbw-big-hooters-sex-doll-booba
,Default is more expensive,Misdirection,Product Page,No,https://www.mylola.com/products/applicator-tampons
,Need to create an account to browse the website,Forced Action,Home Page,No,https://secretsales.com/
only 2 left in stock,Product detail,Scarcity,Product Page,No,https://www.adidas.fi/sc-premiere-shoes/CG6239.html
ONLY 4 LEFT!,Product detail,Scarcity,Product Page,No,https://chicsoul.com/products/whats-a-girl-to-do-skinny-jeans-white?variant=20226107211865
Only 2 left in stock,Product detail,Scarcity,Product Page,No,https://sastimedicine.com/shop/product/qionghua-flexible-knee-support-1-piece/
"Hurry, only 2 left in stock!",Produt detail,Scarcity,Product Page,No,https://www.amleo.com/dual-outlet-7-day-digital-timer/p/TM01715D/
,Origin unclear,Social Proof,Product Page,No,https://www.bugasalt.com/pages/testimonials
,Sale. Resets after hitting zero,Urgency,Product Page,Yes,https://dailysale.com
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://motoloot.com/collections/moto-key-tags/products/come-to-the-darkside-motorcycle-keychain
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Periodic popup,Social Proof,Product Page,No,https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat
Necessary Protection..,Popup shown after adding to cart,Misdirection,Product Page,No,https://www.dipyourcar.com/collections/beginner-kits/products/matte-black-car-kit
Only 1 Left in Stock. Buy Soon!,Product detail,Scarcity,Product Page,No,https://www.wayfair.com/rugs/pdp/gracie-oaks-xamiera-hand-tufted-wool-ivory-medallion-area-rug-grks8226.html?piid=24292217&ds=5
Items in your cart are in high demand.,Shown for all products,Scarcity,Cart Page,No,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
James from Colonia purchased a,Periodic popup,Social Proof,Product Page,No,https://www.diamondcbd.com/products/unflavored-diamond-cbd-oil-1500mg
Merchandise: $69.99iService Charge: $14.99 Total Before Tax: $84.98 Estimated Tax:$5.63Order Total: $90.61,69.99 becomes 90.61. Shipping charges are not disclosed until the end.,Sneaking,Checkout Process,Depends,https://www.1800flowers.com/florist-delivered-wonderful-wishes-167006?categoryId=400064999
,Deal.,Urgency,Product Page,No,https://bidforx.com
"Sorry, this is out of stock. You just missed it.",Makes it seem like you just missed out on the product.  Popup appears when you land on a product that's out of stock.,Scarcity,Product Page,No,https://www.6pm.com/p/lacoste-flamme-short-sleeve-regular-fit-jersey-semi-fancy-collar-inkwell-flour-navy-blue/product/9095736/color/768857
"Order now, only 2 left in stock!",Product detail,Scarcity,Product Page,No,https://doduae.com/pearl-decorated-ribbed-full-sleeves-t-shirt-khaki.html
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Banner,Urgency,Product Page,No,https://www.liveaquaria.com/product/3365/sinularia-finger-leather-coral-yellow-polyp-aquaculured-ora-reg?pcatid=3365&c=3352+3354+3365
Special sale ends in,Resets. Sale doesn't link to anything so presumably it's the product.,Urgency,Product Page,No,https://thevectorlab.com/products/t-shirt-designers-bundle#
,Sale. Timer goes away; sale remains,Urgency,Product Page,Yes,https://www.modlily.com
Order in 13:16 to get $200 off your mattress,Timer resets,Urgency,Cart Page,Yes,https://www.dreamcloudsleep.com/mattress
"Someone from Portland, United States (US) purchased MODALERT recently.",Periodic popup,Social Proof,Product Page,No,https://www.modafinilstar.com/?product=waklert
,Discount code,Urgency,Product Page,No,https://www.liveinfinitely.com
1 item left,Product detail,Scarcity,Product Page,No,https://www.okayamadenim.com/collections/new-restocks/products/samurai-jeans-s510xx20ozga-20th-20oz-battle-of-ganryujima-20th-anniversary-selvedge-denim-jeans-regular-straight
Limited stock!,Product detail. Everything is limited stock.,Scarcity,Product Page,No,https://savethebeesproject.com/products/limited-edition-honeycomb-heart-necklace-bee-inspired
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",,Misdirection,Checkout Process,No,https://loaf.com/products/humblebum-sofa?size=small&colour=thatch-house-fabric
Only 3 left in stock,Product detail,Scarcity,Product Page,No,https://www.wolfandbadger.com/us/wide-brim-straw-hat_57cm/
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Cart Page,No,https://briogeohair.com/collections/farewell-frizz/products/farewell-frizz-smoothing-shampoo
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Banner,Urgency,Product Page,No,https://www.ylighting.com/carronade-adjustable-floor-lamp-by-le-klint-LKLP177098.html
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Periodic popup,Social Proof,Product Page,No,https://thesaucela.com/collections/vaporham-lincoln-ejuice/products/120ml-america-best-berry-vape-juice-vaporham-lincoln-eliquid
LOW STOCK: Only 1 left.,Product detail,Scarcity,Product Page,No,https://www.jabong.com/superdry-navy-blue-printed-round-neck-regular-fit-t-shirt-7292248.htm?pos=22
,Shipping,Urgency,Product Page,No,https://shop.envirofone.com
1 LEFT,Product detail,Scarcity,Product Page,No,https://shoplostfound.com/collections/engineered-garments/products/engineered-garments-cotton-double-cloth-driver-jacket-dark-navy
1 left at this price,Product detail,Scarcity,Product Page,No,https://store.kix-files.com/products/nike-air-vapormax-plus-betrue-2018
"To cancel your order before it ships, call us.",Call to cancel,Obstruction,Other Page,No,https://www.discountcontactlenses.com/faq
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,Checkout Process,No,https://topcoat.store/collections/web-specials/products/topcoat-f11-pro-prep-kit
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Product detail. Below ATC.,Urgency,Product Page,No,https://www.prettylittlething.com.au/yellow-cheetah-cut-out-wrap-around-swimsuit.html
"Only 3 left, order soon",Product detail,Scarcity,Product Page,No,https://www.columbiasportswear.co.uk/womens-titan-ultra-half-zip-shirt-1803081.html?cgid=shopToStay-cool&dwvar_1803081_variationColor=466
Hurry only 1 left!,Product detail,Scarcity,Product Page,No,https://www.artfire.com/ext/shop/product_view/14002299
Only 2 items left,Product detail,Scarcity,Product Page,No,https://www.daraz.com.np/loreal-combo-of-age-perfect-skin-care-essentials-day-night-cream-eye-cream-cleansing-milk-set-of-4-i100265865-s1020538227.html?search=1
"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyer’s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.","Call to cancel ""Buyer's club""",Obstruction,Other Page,No,https://image.sportsmansguide.com/image/pdf/sg-buyers-club-terms-conditions.pdf
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://www.prettygreen.com/products/mens-diamond-print-collar-polo-shirt-2303/?color=grey&size=xs
,Sale,Urgency,Product Page,No,https://www.vaporbeast.com
,Shipping,Urgency,Product Page,No,https://www.lookfantastic.com
Offer ends in,Timer goes away but deal still valid.,Urgency,Home Page,Yes,https://www.justfab.com/products/Faux-Suede-Pant-PT1618153-0001
"No thanks, I like full price",Popup,Misdirection,Product Page,No,https://www.radioshack.com/products/helion-conquest-10mt-xlr-1-10-scale-2wd-rc-truck
"2,229 people have viewed this item",Popup right side,Social Proof,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
5 Viewing This Product,Product detail,Social Proof,Product Page,Yes,https://printfads.com/collections/jewelry/products/firefighters-mom-necklace?variant=21408203505744
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Popup,Misdirection,Product Page,No,https://www.nyxcosmetics.com/suede-matte-lipstick/NYX_630.html?cgid=best-sellers
No thanks - I don't want to save money,Popup,Misdirection,Product Page,No,https://www.digitalsupplyusa.com/products/samsung-galaxy-note-8-glass-screen-repair-replacement-kit-tools-instructions-black-pro-series
308 viewed per day,Product detail,Social Proof,Product Page,No,https://www.ebay.ca/itm/Latest-MacBook-Pro-15-Intel-6-Core-8th-Gen-i9-16GB-DDR4-2TB-SSD-Radeon-555X/323583520166?_trkparms=pageci%3A77bdfc1c-24e9-11e9-9161-74dbd1803c12%7Cparentrq%3Aa1297a3a1680aadc1eb08c76ffe409c4%7Ciid%3A1
Limited Time!,Free shipping offer,Urgency,Cart Page,No,https://www.pacsun.com/pacsun/side-stripe-tricot-green-track-pants-0133250500173.html?dwvar_0133250500173_color=030&cgid=mens-pants
Only a few left!,Product detail,Scarcity,Product Page,No,https://www.simplyswim.com/products/tyr-swarm-blade-jammer-green
Only 1 Item Left!,Product detail,Scarcity,Product Page,No,https://www.boohoo.com/rib-neon-low-scoop-neckline-bodycon-dress/FZZ99390-1.html?color=324
ONLY 5 LEFT,Product detail,Scarcity,Product Page,No,https://www.bargainhardware.co.uk/hp-374503-001-dl585-g5-g6-g7-dl580-g5-g7-ml570-g4-g5-374516-001-rail-outers
Explosive Offers! 80% Off Everything 07:25:41,Banner,Urgency,Product Page,No,https://voga.com/products/barcelona-chair-replica
33 people are eyeing this item!,Product detail,Social Proof,Product Page,No,https://leprix.com/shop/givenchy/shoulder-bags/chain-pandora-box-handbag-stingray-mini
,Shipping,Urgency,Product Page,No,https://zodeys.com
Hurry! Almost Sold Out...,Product detail,Scarcity,Product Page,No,https://www.fashionnova.com/collections/sandals/products/always-blooming-flat-sandal-red
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,Popup appears asking you to add more products,Misdirection,Product Page,No,https://store.simplymac.com/products/ipad-pro-12-9?variant=16786115264610
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Periodic popup,Social Proof,Product Page,No,https://www.shoppriceless.com/products/sadie-ponte-pants-black?variant=121973506064&utm_source=fomo&utm_medium=notification
"Someone from Rochedale, Queensland, Australia started buying this!",Product detail,Social Proof,Product Page,No,https://fuzz.online/products/fg-grater
Only 9 left,Product detail,Scarcity,Product Page,No,https://www.grahamandgreen.co.uk/zuri-extra-large-blue-and-yellow-pendant
,Shipping,Urgency,Product Page,No,https://www.electrictobacconist.co.uk
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://www.unmannedtechshop.co.uk/product/saga-brushless-gimbal-with-encoders-handheld-version-of-came-mini-3/
Only 3 left in stock,Product detail,Scarcity,Product Page,No,https://www.cuttingboard.com/john-boos-walnut-board-with-bun-feet-12-x-12-x-1-5/
"Hurry, this style is selling fast!",Product detail,Scarcity,Product Page,No,https://www.columbia.com/mens-peakfreak-venture-suede-waterproof-shoe-1746401.html?cgid=sale&dwvar_1746401_variationColor=257
Limited quantity available,Product detail,Scarcity,Product Page,No,https://www.levenger.com/women-s-22911/wallets-card-cases-22919/alexa-multi-strap-phone-wallet-14611.aspx
,Shipping,Urgency,Product Page,No,https://www.magidglove.com
"Someone in Chambersburg, Pennsylvania purchased",Periodic popup,Social Proof,Product Page,No,https://www.hairfinity.com/us/en/shop/1-month-supply-hairfinity-vitamins-autoship
,"At first ""passport"" seems like a one time deal but on the cart page, membership is shown for the first time. On clicking passport on the product page, the fine print describes auto renewal. Doesn't disclose the recurring nature even in cart.",Sneaking,Product Page,Depends,https://www.cheryls.com/fathers-day-gift-tin-cut-outs-cco-fdy19-205701?cmCategoryId=400192547&categoryId=400192547
"No thanks, I'm not interested in saving money.",Popup,Misdirection,Product Page,No,https://www.rkguns.com/springfield-m1a-scout-squad-308-win-7-62-nato-semi-automatic-18-rifle-flat-dark-earth-aa9120.html
,Shipping,Urgency,Product Page,No,https://www.fatbuddhastore.com
,Sale. Repeats with new sale.,Urgency,Product Page,No,https://www.nbeads.com
Only 2 left!,Product detail,Scarcity,Product Page,No,https://www.urbandecay.com/brow-blade-urban-decay/ud934.html?dwvar_ud934_color=TAUPE%20TRAP
,Discount code,Urgency,Product Page,No,https://www.lightinthebox.com
"NO, I'LL PAY FULL PRICE",Popup,Misdirection,Product Page,No,https://www.harney.com/products/very-berry-matcha?variant=36631926470
Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://dresslikea.com/product/light-blue-lightweight-oxford-shirt/
Your order is reserved for 09:43 minutes!,Conversion pirate,Urgency,Cart Page,Yes,https://www.sunberhair.com/collections/curly-hair/products/brazilian-curly-virgin-hair-lace-frontal-with-bundles-100-human-hair-extensions-wefts
Hurry! Only 1 Pair left!,Product detail,Scarcity,Product Page,No,https://www.fluevog.com/shop/5346-211-carrall-street-black-cutouts?item=1&of=242&anchor=true
,Sale,Urgency,Product Page,No,https://www.beautifulhalo.com
1 person is looking at this item.,Product detail,Social Proof,Product Page,No,https://urbanedcsupply.com/collections/all-available/products/jens-anso-nemo-carbon-fiber-titanium-custom
"No, I'd rather pay full price.",Popup,Misdirection,Product Page,No,https://www.jaanuu.com/products/melody-lab-coat/white
Grab yourself a bargain!,Add a product to cart and the website will urge youto buy more,Misdirection,Product Page,No,https://www.mymemory.co.uk/oneo-drive-car-air-vent-mount-holder.html
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Popup in cart if you wait or try to leave the page,Scarcity,Cart Page,No,https://www.wineenthusiast.com/storage/wine-refrigerators/6-50-bottle-wine-refrigerators.asp?fpid=17927
2 DAYS 13:06:13,Resets. Product detail and sticky banner.,Urgency,Product Page,Yes,https://www.airydress.com/Solid-Casual-Others-Short-Sleeve-Blouses-m1163191
Let's make sure you have everything else you need,Two screens to deny items,Misdirection,Cart Page,No,https://www.supply.com/toto-ultramax-ii-one-piece-toilet-ms604114cefg-11-colonial-white/p19707
3 people are looking at this product,Product detail,Social Proof,Product Page,No,https://secure.mdg.com/ProductDetail.aspx?ItemID=6510&CategoryID=2&guide=0
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Sticky header/footer,Urgency,Product Page,Yes,https://www.uksoccershop.com/p-110652/2018-2019-barcelona-nike-home-socks-navy.html
In Stock (8) Left,Product detail,Scarcity,Product Page,No,https://www.hand2mind.com/item/tenframe-floor-mat-set-activity-set/8758
OUR BEST SELLING GOGGLE,Add product to cart results in a popup asking you to also buy the Glasses,Misdirection,Cart Page,No,https://www.speedousa.com/fastskin-lzr-pure-intent-jammer-style-7725000?Color=Black%2FRose%20Gold&Size=25&replaceItem=true&skuNumber=00027556318762
,Shipping,Urgency,Product Page,No,https://www.mpb.com
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Checkout Process,Yes,https://dailygifty.com/products/100-natural-bamboo-charging-dock-station-for-mobile-phone-and-watch
3 people bought this item last week.,Product detail,Social Proof,Product Page,No,https://czechbeadsexclusive.com/en/shiny-yellow-gold-czech-glass-cube-seed-beads-6-0-preciosa-seed-beads-size-6-pearls-rocaille-beads-czech-glass-spacer-beads-3mm-x-3mm-20g/
"I DON'T LIKE FREE GIFTS, NO THANKS",Popup,Misdirection,Cart Page,No,https://www.dormco.com/Braided_Blanket_Throw_Size_p/d1603-bybs18-40x60.htm
Other 2 customers have it in their cart.,Product detail,Social Proof,Product Page,No,https://www.spotmodel.com/product_info.php?products_id=13043
Only 2 units left in stock,Product detail,Scarcity,Cart Page,No,http://oxolloxo.kraftly.com/product/printed-maternity-printed-tunic-1482244288soq
74% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Product Page,No,https://ttdeye.com/collections/popular-products/products/ice-green
,Deal.,Urgency,Product Page,No,https://www.golftown.com
Only 4 left,Product detail,Scarcity,Product Page,No,https://www.obrienswine.ie/casamigos-reposado-70cl.html
Customer also shopped for,Popup appears telling you to buy more after you get to cart page,Misdirection,Cart Page,No,https://makegoodies.com/collections/car-accessories/products/universal-car-phone-mount
4 days 05:46:20,The same deal repeats with a new timer once the old one expires.,Urgency,Product Page,Yes,https://www.gogroopie.com/deal/1sgu69k16u6/6_Luxury_Bags_Set___4_Colours
,Sale. Resets on each load.,Urgency,Product Page,Yes,https://www.vaporizerchief.com
143 BOUGHT,Product detail,Social Proof,Product Page,No,https://www.cobone.com/en/deals/dubai/fun-city-play-membership-landmark/86605
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",Call to cancel membership,Obstruction,Other Page,No,https://www.heartlandamerica.com/hlacatalog/product/vcm/
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",,Misdirection,Checkout Process,No,https://www.very.co.uk/aruba-outdoor-2-seaternbspmodular-sofa-set/1600200267.prd
Over 200 views in 24 hrs,Product detail ,Social Proof,Product Page,No,https://www.pcworld.co.uk/gbuk/computing-accessories/printers-scanners-and-ink/printers/epson-ecotank-et-2650-all-in-one-wireless-inkjet-printer-10157854-pdt.html
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://makegoodies.com/collections/car-accessories/products/universal-car-phone-mount
Yes! Upgrade my purchase,Popup on adding to cart,Misdirection,Product Page,No,https://topcoat.store/products/topcoat-f11-prep-kit
LIMITED TIME OFFER!,Product detail,Urgency,Product Page,No,https://www.noahscave.com/product/magic-8x-zoom-lens-compatible-phones/
Hurry up! Sale Ends in,Product detail,Urgency,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
Limited Time: $10 Off! Discount Reflected In Price!,Product detail,Urgency,Product Page,No,https://www.dressbarn.com/signature-fit-soft-stretch-ankle-leg-jeans/prd-103563815
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,Tied to session. Resets.,Urgency,Product Page,Yes,https://www.noahscave.com/product/magic-8x-zoom-lens-compatible-phones/
Hurry! Only 6 left in stock!,Product detail,Scarcity,Product Page,No,https://www.spencersonline.com/product/jack-skellington-tank-top-and-panties-the-nightmare-before-christmas/137182.uts?relationType=recentlyViewed&thumbnailIndex=0
,Shipping,Urgency,Product Page,No,https://www.necessaryclothing.com
Only 1 Item(s) left,Product detail,Scarcity,Product Page,No,https://www.ashleystewart.com/1/1/7397847-tall-printed-pull-legging-multi-bottoms.html
Hurry! Only 1 left in stock,Product detail,Scarcity,Product Page,No,https://us.topman.com/en/tmus/product/sale-6820155/view-all-sale-5961594/burgundy-merino-tipped-turtle-neck-sweater-8274900
Only 1 products left,Product detail,Scarcity,Cart Page,No,https://www.edisac.com/leather-wallet-longchamp-3d-geometrique-longchamp-03418936-291-en/1
,The popup presents a choice based on your current total but doesn't discuss the recurring charge of the membership until the cart page. Note that the membership is diclosed on gray text in the popup.,Misdirection,Product Page,No,https://www.fabletics.ca/product?id=7941769&psrc=also%5Flove
Your order is reserved for 09:35 minutes!,Resets on load.,Urgency,Checkout Process,Yes,https://gopowear.com/collections/wallet-case/products/fashion-beautiful-dragon-wallet-case-sctk240401
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",Periodic popup,Social Proof,Product Page,No,https://faradayscienceshop.com/collections/frontpage/products/air-swimmer-the-remote-controlled-fish-blimp
I'd rather not save,Banner if you decline the other upsell they show it again,Misdirection,Product Page,No,https://topcoat.store/products/topcoat-f11-prep-kit
ONLY 5 LEFT IN STOCK!,Product detail,Scarcity,Product Page,No,"https://www.brownsshoes.com/PAMPA-SPORT-CUFF-WPN/229089,default,pd.html?dwvar_229089_color=033&prefn1=siteAssignment-text&prefv1=brown&start=1"
Only 3 left,Product detail,Scarcity,Product Page,No,https://www.rainierarms.com/atibal-xp8-1-8x-with-rapid-view-lever-5-56-tactical-diamond-reticle-tdr-bdc-reticle-second-focal-plane-sfp/
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://pelacase.com/products/save-the-waves-black-google-pixel-2xl-eco-friendly-phone-case?variant=12170059087986
I don't feel lucky,Wheel popup,Misdirection,Product Page,No,https://www.merchoid.com/product/spider-man-white-spider-premium-hoodie/
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Product Page,No,https://www.tokersupply.com/collections/bongs-and-glass-water-pipes/products/nectar-collector-with-titanium-tip
"Awhi from Hicks Bay, Gisborne, New Zealand just bought",Periodic popup,Social Proof,Product Page,No,https://www.kismetcollections.com/products/cherry-palazzo-pants?variant=6759939604519&utm_source=what-other-people-bought&utm_medium=notification&pid=481841250343
"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and we’ll respond promptly. If your membership has already renewed and you’d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTH’S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. We’ll get back to promptly!",Email to Cancel,Obstruction,Other Page,No,https://yogisurprise.com/faq/
Limited Quantity Available,Product detail,Scarcity,Product Page,No,https://www.adorama.com/pp901211.html
Currently less than 10 available,Product image,Scarcity,Product Page,No,https://www.merchoid.com/product/spider-man-white-spider-premium-hoodie/
FLASH SALE | LIMITED TIME ONLY Shop Now,,Urgency,Product Page,No,https://www.dickssportinggoods.com/p/smith-adult-arrival-mips-snow-helmet-18soparrvlmpspbxxssp/18soparrvlmpspbxxssp?recid=coupon_PageElement_category_rr_1_3465_&rrec=true
,Extra product in cart along with free gift. Sneaked in using checkbox.,Sneaking,Product Page,Depends,https://www.cellularoutfitter.com/collections/universal-accessories/products/felt-wool-smartphone-sleeve-gray-felt-01
4 people have purchased this item,Right of page,Social Proof,Product Page,No,https://shop.iravin.com/collections/women-clothing-sale/products/51031?variant=21434152616021
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Banner,Urgency,Product Page,No,https://www.crankbrothers.com/collections/twin-pair-spoke-accessories/products/cobalt-iodine-zinc-front-endcap
ONLY 4 LEFT IN STOCK,Product detail,Scarcity,Product Page,No,https://alaindupetit.com/collections/three-piece-suits/products/blue-pinstripe-3p-two-button-tr
89% offers claimed. Hurry up!,Sidewheel popup,Scarcity,Product Page,No,https://chicdelta.com/products/adjustable-heel-ankle-belt
QUICK! ONLY 1 LEFT IN STOCK,Product detail,Scarcity,Product Page,No,https://www.lunya.co/products/cozy-pima-alpaca-jogger?variant=14239007997995
Only 6 left,Product detail,Scarcity,Product Page,No,https://www.coolwinks.com/sunglasses/Jrs-multicolor-mirror-retrosquare-sunglasses-men-product-S67A5383/
,Shipping,Urgency,Product Page,No,https://www.heatandplumb.com
Only 2 left,Product detail,Scarcity,Product Page,No,https://www.toryburch.co.uk/lee-radziwill-large-calf-hair-satchel/54683.html?cgid=new-view-all-new-arrivals&dwvar_54683_color=723
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Banner,Urgency,Product Page,No,https://www.additionelle.com/en-us/non-padded-faux-wrap-sports-bra-sizes-g-and-h---nola/408419.html?cgid=New-Arrivals-Activewear&dwvar_408419_color=Black
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,On product image,Social Proof,Product Page,No,https://www.carpetright.co.uk/carpets/super-top-twist-plain-carpet
70% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Product Page,No,https://dudegadgets.com/products/10-pcs-finger-massage-rings?variant=397727596551
ALMOST GONE - only 2 remaining!,Below product image,Scarcity,Product Page,No,https://www.wowcher.co.uk/deal/london/10587660/babyliss-curl-secret-hair-styler-54?usr_src=search
,Deterministic draw. Always give you the prize with the lowest index. See code.,Misdirection,Product Page,Yes,https://www.sammydress.com/
,Sale,Urgency,Product Page,No,https://www.postergully.com
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,Product detail. Resets. Limited stock. Hurrify.,Urgency,Product Page,Yes,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
,Shipping,Urgency,Product Page,No,https://www.hsjohnson.com
Only 1 items left in stock!,Product detail,Scarcity,Product Page,No,https://workhey.com/collections/necklaces/products/personalized-photo-love-heart-necklace-925-silver
Only 3 left in stock,Product detail,Scarcity,Product Page,No,https://www.castlery.com/products/chelsea-marble-dining-table-with-bench-and-2-chairs?quantity=1&table=8658&bench=9201&chair=9199
ONLY 2 LEFT,Product detail,Scarcity,Product Page,No,https://www.pomelofashion.com/us/en/sale/18790-midi-two-tone-velvet-wrap-dress---turquoise.html
Only 1 left in stock!,Product detail,Scarcity,Cart Page,No,https://www.bergfreunde.eu/new-balance-womens-fresh-foam-cruz-sneakers/?cnid=4afc520f5d2fbfa7b31851519f19b
,Sale. Repeats with new sale.,Urgency,Product Page,No,https://banzaihobby.com
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Product detail,Urgency,Product Page,Yes,https://savethebeesproject.com/products/limited-edition-honeycomb-heart-necklace-bee-inspired
90% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Product Page,No,https://motoloot.com/collections/moto-key-tags/products/come-to-the-darkside-motorcycle-keychain
Only 6 left,Product detail,Scarcity,Product Page,No,https://hydrobuilder.com/high-rise-3-x-4-multi-chamber-led-perpetual-harvest-soil-grow-tent-kit.html
,Sale,Urgency,Product Page,No,https://www.sanitarya.com
Today's sale ends in: 00hours:57min:19sec,Product detail,Urgency,Product Page,Yes,https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat
Checkout within 04:10 so we don't run out of stock!,Banner,Urgency,Cart Page,No,https://www.bulbhead.com/products/hurricane-spin-duster-2-pack
